qualified_team_id,tournament_id,team_id,count_matches,performance
1,WC-1930,T-03,5,final
2,WC-1930,T-06,2,group stage
3,WC-1930,T-07,2,group stage
4,WC-1930,T-09,2,group stage
5,WC-1930,T-13,3,group stage
6,WC-1930,T-30,3,group stage
7,WC-1930,T-46,3,group stage
8,WC-1930,T-55,2,group stage
9,WC-1930,T-56,2,group stage
10,WC-1930,T-61,2,group stage
11,WC-1930,T-83,3,semi-finals
12,WC-1930,T-84,4,final
13,WC-1930,T-87,3,semi-finals
14,WC-1934,T-03,1,round of 16
15,WC-1934,T-05,4,third-place match
16,WC-1934,T-06,1,round of 16
17,WC-1934,T-09,1,round of 16
18,WC-1934,T-21,4,final
19,WC-1934,T-26,1,round of 16
20,WC-1934,T-30,1,round of 16
21,WC-1934,T-31,4,third-place match
22,WC-1934,T-36,2,quarter-finals
23,WC-1934,T-41,5,final
24,WC-1934,T-48,1,round of 16
25,WC-1934,T-61,1,round of 16
26,WC-1934,T-73,3,quarter-finals
27,WC-1934,T-74,2,quarter-finals
28,WC-1934,T-75,2,quarter-finals
29,WC-1934,T-83,1,round of 16
30,WC-1938,T-06,1,round of 16
31,WC-1938,T-09,5,third-place match
32,WC-1938,T-19,3,quarter-finals
33,WC-1938,T-21,3,quarter-finals
34,WC-1938,T-23,1,round of 16
35,WC-1938,T-30,2,quarter-finals
36,WC-1938,T-31,2,round of 16
37,WC-1938,T-36,4,final
38,WC-1938,T-41,4,final
39,WC-1938,T-48,1,round of 16
40,WC-1938,T-53,1,round of 16
41,WC-1938,T-57,1,round of 16
42,WC-1938,T-61,2,round of 16
43,WC-1938,T-74,3,third-place match
44,WC-1938,T-75,3,quarter-finals
45,WC-1950,T-07,1,group stage
46,WC-1950,T-09,6,final round
47,WC-1950,T-13,3,group stage
48,WC-1950,T-28,3,group stage
49,WC-1950,T-41,2,group stage
50,WC-1950,T-46,3,group stage
51,WC-1950,T-55,2,group stage
52,WC-1950,T-73,6,final round
53,WC-1950,T-74,5,final round
54,WC-1950,T-75,3,group stage
55,WC-1950,T-83,3,group stage
56,WC-1950,T-84,4,final round
57,WC-1950,T-87,3,group stage
58,WC-1954,T-05,5,third-place match
59,WC-1954,T-06,2,group stage
60,WC-1954,T-09,3,quarter-finals
61,WC-1954,T-21,2,group stage
62,WC-1954,T-28,3,quarter-finals
63,WC-1954,T-30,2,group stage
64,WC-1954,T-36,5,final
65,WC-1954,T-41,3,group stage
66,WC-1954,T-46,2,group stage
67,WC-1954,T-64,2,group stage
68,WC-1954,T-71,2,group stage
69,WC-1954,T-75,4,quarter-finals
70,WC-1954,T-80,3,group stage
71,WC-1954,T-84,5,third-place match
72,WC-1954,T-86,6,final
73,WC-1954,T-87,3,quarter-finals
74,WC-1958,T-03,3,group stage
75,WC-1958,T-05,3,group stage
76,WC-1958,T-09,6,final
77,WC-1958,T-21,4,group stage
78,WC-1958,T-28,4,group stage
79,WC-1958,T-30,6,third-place match
80,WC-1958,T-36,4,group stage
81,WC-1958,T-46,3,group stage
82,WC-1958,T-52,5,quarter-finals
83,WC-1958,T-55,3,group stage
84,WC-1958,T-64,3,group stage
85,WC-1958,T-72,5,quarter-finals
86,WC-1958,T-74,6,final
87,WC-1958,T-85,5,quarter-finals
88,WC-1958,T-86,6,third-place match
89,WC-1958,T-87,4,quarter-finals
90,WC-1962,T-03,3,group stage
91,WC-1962,T-09,6,final
92,WC-1962,T-10,3,group stage
93,WC-1962,T-13,6,third-place match
94,WC-1962,T-16,3,group stage
95,WC-1962,T-21,6,final
96,WC-1962,T-28,4,quarter-finals
97,WC-1962,T-36,4,quarter-finals
98,WC-1962,T-41,3,group stage
99,WC-1962,T-46,3,group stage
100,WC-1962,T-72,4,quarter-finals
101,WC-1962,T-73,3,group stage
102,WC-1962,T-75,3,group stage
103,WC-1962,T-84,3,group stage
104,WC-1962,T-86,4,quarter-finals
105,WC-1962,T-87,6,third-place match
106,WC-1966,T-03,4,quarter-finals
107,WC-1966,T-09,3,group stage
108,WC-1966,T-10,3,group stage
109,WC-1966,T-13,3,group stage
110,WC-1966,T-28,6,final
111,WC-1966,T-30,3,group stage
112,WC-1966,T-36,4,quarter-finals
113,WC-1966,T-41,3,group stage
114,WC-1966,T-46,3,group stage
115,WC-1966,T-51,4,quarter-finals
116,WC-1966,T-58,6,third-place match
117,WC-1966,T-72,6,third-place match
118,WC-1966,T-73,3,group stage
119,WC-1966,T-75,3,group stage
120,WC-1966,T-84,4,quarter-finals
121,WC-1966,T-86,6,final
122,WC-1970,T-06,3,group stage
123,WC-1970,T-09,6,final
124,WC-1970,T-10,3,group stage
125,WC-1970,T-21,3,group stage
126,WC-1970,T-27,3,group stage
127,WC-1970,T-28,4,quarter-finals
128,WC-1970,T-40,3,group stage
129,WC-1970,T-41,6,final
130,WC-1970,T-46,4,quarter-finals
131,WC-1970,T-47,3,group stage
132,WC-1970,T-56,4,quarter-finals
133,WC-1970,T-61,3,group stage
134,WC-1970,T-72,4,quarter-finals
135,WC-1970,T-74,3,group stage
136,WC-1970,T-84,6,third-place match
137,WC-1970,T-86,6,third-place match
138,WC-1974,T-03,6,second group stage
139,WC-1974,T-04,3,group stage
140,WC-1974,T-09,7,third-place match
141,WC-1974,T-10,3,group stage
142,WC-1974,T-13,3,group stage
143,WC-1974,T-24,6,second group stage
144,WC-1974,T-34,3,group stage
145,WC-1974,T-41,3,group stage
146,WC-1974,T-48,7,final
147,WC-1974,T-57,7,third-place match
148,WC-1974,T-64,3,group stage
149,WC-1974,T-74,6,second group stage
150,WC-1974,T-84,3,group stage
151,WC-1974,T-86,7,final
152,WC-1974,T-87,6,second group stage
153,WC-1974,T-88,3,group stage
154,WC-1978,T-03,7,final
155,WC-1978,T-05,6,second group stage
156,WC-1978,T-09,7,third-place match
157,WC-1978,T-30,3,group stage
158,WC-1978,T-36,3,group stage
159,WC-1978,T-38,3,group stage
160,WC-1978,T-41,7,third-place match
161,WC-1978,T-46,3,group stage
162,WC-1978,T-48,7,final
163,WC-1978,T-56,6,second group stage
164,WC-1978,T-57,6,second group stage
165,WC-1978,T-64,3,group stage
166,WC-1978,T-73,3,group stage
167,WC-1978,T-74,3,group stage
168,WC-1978,T-79,3,group stage
169,WC-1978,T-86,6,second group stage
170,WC-1982,T-01,3,group stage
171,WC-1982,T-03,5,second group stage
172,WC-1982,T-05,5,second group stage
173,WC-1982,T-06,5,second group stage
174,WC-1982,T-09,5,second group stage
175,WC-1982,T-11,3,group stage
176,WC-1982,T-13,3,group stage
177,WC-1982,T-21,3,group stage
178,WC-1982,T-27,3,group stage
179,WC-1982,T-28,5,second group stage
180,WC-1982,T-30,7,third-place match
181,WC-1982,T-35,3,group stage
182,WC-1982,T-36,3,group stage
183,WC-1982,T-41,7,final
184,WC-1982,T-45,3,group stage
185,WC-1982,T-49,3,group stage
186,WC-1982,T-52,5,second group stage
187,WC-1982,T-56,3,group stage
188,WC-1982,T-57,7,third-place match
189,WC-1982,T-64,3,group stage
190,WC-1982,T-72,5,second group stage
191,WC-1982,T-73,5,second group stage
192,WC-1982,T-86,7,final
193,WC-1982,T-87,3,group stage
194,WC-1986,T-01,3,group stage
195,WC-1986,T-03,7,final
196,WC-1986,T-06,7,third-place match
197,WC-1986,T-09,5,quarter-finals
198,WC-1986,T-10,4,round of 16
199,WC-1986,T-12,3,group stage
200,WC-1986,T-22,4,round of 16
201,WC-1986,T-28,5,quarter-finals
202,WC-1986,T-30,7,third-place match
203,WC-1986,T-36,3,group stage
204,WC-1986,T-39,3,group stage
205,WC-1986,T-41,4,round of 16
206,WC-1986,T-46,5,quarter-finals
207,WC-1986,T-47,4,round of 16
208,WC-1986,T-52,3,group stage
209,WC-1986,T-55,4,round of 16
210,WC-1986,T-57,4,round of 16
211,WC-1986,T-58,3,group stage
212,WC-1986,T-64,3,group stage
213,WC-1986,T-71,3,group stage
214,WC-1986,T-72,4,round of 16
215,WC-1986,T-73,5,quarter-finals
216,WC-1986,T-84,4,round of 16
217,WC-1986,T-86,7,final
218,WC-1990,T-03,7,final
219,WC-1990,T-05,3,group stage
220,WC-1990,T-06,4,round of 16
221,WC-1990,T-09,4,round of 16
222,WC-1990,T-11,5,quarter-finals
223,WC-1990,T-16,4,round of 16
224,WC-1990,T-17,4,round of 16
225,WC-1990,T-21,5,quarter-finals
226,WC-1990,T-26,3,group stage
227,WC-1990,T-28,7,third-place match
228,WC-1990,T-41,7,third-place match
229,WC-1990,T-48,4,round of 16
230,WC-1990,T-60,5,quarter-finals
231,WC-1990,T-61,4,round of 16
232,WC-1990,T-64,3,group stage
233,WC-1990,T-71,3,group stage
234,WC-1990,T-72,3,group stage
235,WC-1990,T-73,4,round of 16
236,WC-1990,T-74,3,group stage
237,WC-1990,T-82,3,group stage
238,WC-1990,T-83,3,group stage
239,WC-1990,T-84,4,round of 16
240,WC-1990,T-86,7,final
241,WC-1990,T-87,5,quarter-finals
254,WC-1994,T-03,4,round of 16
255,WC-1994,T-06,4,round of 16
256,WC-1994,T-07,3,group stage
257,WC-1994,T-09,7,final
258,WC-1994,T-10,7,third-place match
259,WC-1994,T-11,3,group stage
260,WC-1994,T-16,3,group stage
261,WC-1994,T-31,5,quarter-finals
262,WC-1994,T-33,3,group stage
263,WC-1994,T-41,7,final
264,WC-1994,T-46,4,round of 16
265,WC-1994,T-47,3,group stage
266,WC-1994,T-48,5,quarter-finals
267,WC-1994,T-50,4,round of 16
268,WC-1994,T-53,3,group stage
269,WC-1994,T-60,4,round of 16
270,WC-1994,T-61,5,quarter-finals
271,WC-1994,T-62,3,group stage
272,WC-1994,T-63,4,round of 16
273,WC-1994,T-71,3,group stage
274,WC-1994,T-73,5,quarter-finals
275,WC-1994,T-74,7,third-place match
276,WC-1994,T-75,4,round of 16
277,WC-1994,T-83,4,round of 16
290,WC-1998,T-03,5,quarter-finals
291,WC-1998,T-05,3,group stage
292,WC-1998,T-06,3,group stage
293,WC-1998,T-09,7,final
294,WC-1998,T-10,3,group stage
295,WC-1998,T-11,3,group stage
296,WC-1998,T-13,4,round of 16
297,WC-1998,T-16,3,group stage
298,WC-1998,T-18,7,third-place match
299,WC-1998,T-22,5,quarter-finals
300,WC-1998,T-28,4,round of 16
301,WC-1998,T-30,7,final
302,WC-1998,T-31,5,quarter-finals
303,WC-1998,T-38,3,group stage
304,WC-1998,T-41,5,quarter-finals
305,WC-1998,T-43,3,group stage
306,WC-1998,T-44,3,group stage
307,WC-1998,T-46,4,round of 16
308,WC-1998,T-47,3,group stage
309,WC-1998,T-48,7,third-place match
310,WC-1998,T-50,4,round of 16
311,WC-1998,T-53,4,round of 16
312,WC-1998,T-55,4,round of 16
313,WC-1998,T-61,4,round of 16
314,WC-1998,T-63,3,group stage
315,WC-1998,T-64,3,group stage
316,WC-1998,T-70,3,group stage
317,WC-1998,T-71,3,group stage
318,WC-1998,T-73,3,group stage
319,WC-1998,T-79,3,group stage
320,WC-1998,T-83,3,group stage
321,WC-1998,T-87,4,round of 16
338,WC-2002,T-03,3,group stage
339,WC-2002,T-06,4,round of 16
340,WC-2002,T-09,7,final
341,WC-2002,T-11,3,group stage
342,WC-2002,T-14,3,group stage
343,WC-2002,T-17,3,group stage
344,WC-2002,T-18,3,group stage
345,WC-2002,T-22,4,round of 16
346,WC-2002,T-25,3,group stage
347,WC-2002,T-28,5,quarter-finals
348,WC-2002,T-30,3,group stage
349,WC-2002,T-31,7,final
350,WC-2002,T-41,4,round of 16
351,WC-2002,T-44,4,round of 16
352,WC-2002,T-46,4,round of 16
353,WC-2002,T-50,3,group stage
354,WC-2002,T-55,4,round of 16
355,WC-2002,T-57,3,group stage
356,WC-2002,T-58,3,group stage
357,WC-2002,T-60,4,round of 16
358,WC-2002,T-62,3,group stage
359,WC-2002,T-63,3,group stage
360,WC-2002,T-65,5,quarter-finals
361,WC-2002,T-69,3,group stage
362,WC-2002,T-70,3,group stage
363,WC-2002,T-71,7,third-place match
364,WC-2002,T-73,5,quarter-finals
365,WC-2002,T-74,4,round of 16
366,WC-2002,T-79,3,group stage
367,WC-2002,T-80,7,third-place match
368,WC-2002,T-83,5,quarter-finals
369,WC-2002,T-84,3,group stage
386,WC-2006,T-02,3,group stage
387,WC-2006,T-03,5,quarter-finals
388,WC-2006,T-04,4,round of 16
389,WC-2006,T-09,5,quarter-finals
390,WC-2006,T-17,3,group stage
391,WC-2006,T-18,3,group stage
392,WC-2006,T-20,3,group stage
393,WC-2006,T-25,4,round of 16
394,WC-2006,T-28,5,quarter-finals
395,WC-2006,T-30,7,final
396,WC-2006,T-31,7,third-place match
397,WC-2006,T-32,4,round of 16
398,WC-2006,T-38,3,group stage
399,WC-2006,T-41,7,final
400,WC-2006,T-42,3,group stage
401,WC-2006,T-44,3,group stage
402,WC-2006,T-46,4,round of 16
403,WC-2006,T-48,4,round of 16
404,WC-2006,T-55,3,group stage
405,WC-2006,T-57,3,group stage
406,WC-2006,T-58,7,third-place match
407,WC-2006,T-63,3,group stage
408,WC-2006,T-67,3,group stage
409,WC-2006,T-71,3,group stage
410,WC-2006,T-73,4,round of 16
411,WC-2006,T-74,4,round of 16
412,WC-2006,T-75,4,round of 16
413,WC-2006,T-77,3,group stage
414,WC-2006,T-78,3,group stage
415,WC-2006,T-79,3,group stage
416,WC-2006,T-81,5,quarter-finals
417,WC-2006,T-83,3,group stage
434,WC-2010,T-01,3,group stage
435,WC-2010,T-03,5,quarter-finals
436,WC-2010,T-04,3,group stage
437,WC-2010,T-09,5,quarter-finals
438,WC-2010,T-11,3,group stage
439,WC-2010,T-13,4,round of 16
440,WC-2010,T-22,3,group stage
441,WC-2010,T-28,4,round of 16
442,WC-2010,T-30,3,group stage
443,WC-2010,T-31,7,third-place match
444,WC-2010,T-32,5,quarter-finals
445,WC-2010,T-33,3,group stage
446,WC-2010,T-35,3,group stage
447,WC-2010,T-41,3,group stage
448,WC-2010,T-42,3,group stage
449,WC-2010,T-44,4,round of 16
450,WC-2010,T-46,4,round of 16
451,WC-2010,T-48,7,final
452,WC-2010,T-49,3,group stage
453,WC-2010,T-50,3,group stage
454,WC-2010,T-51,3,group stage
455,WC-2010,T-55,5,quarter-finals
456,WC-2010,T-58,4,round of 16
457,WC-2010,T-66,3,group stage
458,WC-2010,T-68,4,round of 16
459,WC-2010,T-69,3,group stage
460,WC-2010,T-70,3,group stage
461,WC-2010,T-71,4,round of 16
462,WC-2010,T-73,7,final
463,WC-2010,T-75,3,group stage
464,WC-2010,T-83,4,round of 16
465,WC-2010,T-84,7,third-place match
482,WC-2014,T-01,4,round of 16
483,WC-2014,T-03,7,final
484,WC-2014,T-04,3,group stage
485,WC-2014,T-06,5,quarter-finals
486,WC-2014,T-08,3,group stage
487,WC-2014,T-09,7,third-place match
488,WC-2014,T-11,3,group stage
489,WC-2014,T-13,4,round of 16
490,WC-2014,T-16,5,quarter-finals
491,WC-2014,T-17,5,quarter-finals
492,WC-2014,T-18,3,group stage
493,WC-2014,T-25,3,group stage
